"address","name","symbol","mc","liqPercent"
"FLrgwxXaX8q8ECF18weDf3PLAYorXST5orpY34d8jfbm","Chinu","CHINU",1107229.383545681,0.18734773964754836
"HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod","dogi","DOGI",232686.72744789848,0.18729539155681407
"HB2pjBPuquh1XGEVC1GCKepdh4daoJnkJiHFmaorfBWu","Milady","Milady",289686.2733904822,0.18720019907379054
"Fo6tfAkXj74X6j8hati8SxtwZHHcdGeqXVUPLP9Abvqu","Wally The Whale","WALLY",607685.600030378,0.1867584076949461
"DoyVgrZbkAVMbTVGqa9mFNgjThsr337vxjFtEDWQibN7","Fak Nous","CNN",203743.29094604414,0.18671421650794462
"2Qdakf8jBhM1XcTnzfjoffwqkvpkz5Xz22G8nsobnDeF","Conan","CONAN",151743.41865154667,0.18655824985245237
"6Gp2X7wepNNN6odUo1xpKxZtJALp8XwhknDikaC1VgCB","Purrito","purrito",121469.59713002166,0.18642636971119073
"2WRA42G2WNKrVKyiCuATMCFvmJw6qwQGMyEhuc4ugL9E","Tang Ping Cat","TPCAT",391370.73498114524,0.18633497311883995
"GuVoE2qAS3DHaAGSeuZfBkbLjFXfP46DFbogbrVJNHfN","Italian Coin","ITA",349557.10267812276,0.1858355161173392
"Ez3nzG9ofodYCvEmw73XhQ87LWNYVRM2s7diB5tBZPyM","Autonolas (Wormhole)","OLAS",621195.7466615045,0.18544478476564571
"EyVn9ZW86b7FMVThMPjswEjac3YqrLWkzeVZn3nRwt5c","KABAL","KABAL",798960.4384542588,0.18501064611632462
"DVzrCErBzydh92bBzSJX1dKwVvb4omwhrvNz8CwRyxxV","Andrea Von Speed","VONSPEED",634058.4598744602,0.18468027070821622
"7f94zk1EgfoeG57Vj5FtDDjMmPNHM4DYs7KRiyd2T4bA","AWKWARD LOOK MONKEY CLUB","ALMC",147654.9948198569,0.1846766132034448
"6y56NYaUtKtjT5LKrVvZ3rsLnKyQ96phU3ckSARUkNax","vledemer puten","puten",103970.7648340064,0.1846036576691105
"HhAcs9JjcveM45FG2Zi3JcWAomra3QezZ22mVvr7zPSE","BRASIL COIN","BRASIL",396989.3172295333,0.18450995279398158
"EHCwJQi8dSpZfKm4LJypzozEj5vAN7pESRXJGpESKMfJ","Japan Coin 🇯🇵","JAPAN",512174.525898509,0.18358125507113007
"25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ","MANEKI","MANEKI",82435874.1860967,0.18313068944793115
"2CMxmFb2nsNdw351TfZoawpN1DnDuVrH4Wn6fxH2EJT6","Barron Tremp","BarrTremp",370034.97236725065,0.1829505124721119
"BYioszugAtcKvg47bD9qXedZYvQMaG44xCeY97Fo4uu9","Guangdang","DANG",245946.56279634763,0.1827214335716118
"Avp2VDgnQqxsnrjtq3ynNhKCfWGEGj1PmGLY5ZmgonjH","Saudi Arabia Coin","SAUDI",308183.90860786266,0.18239213612226451
"ECutGg12PNhqhkvnH1s1FcuXgCDzKDNhSf5aLtANioR7","Apu Apustaja","APU",214775.42312613208,0.18182311459920716
"xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW","Solanium","SLIM",23853059.932712674,0.18122751905287507
"3GrjRD9pgoB2ZJSB2dghaaHKLtFHNQR1x1pz9HADPhFP","Kawaii Trump","twump",402703.90545872966,0.18102206522854794
"HJ39rRZ6ys22KdB3USxDgNsL7RKiQmsC3yL8AS3Suuku","What’s Updog?","UPDOG",747981.9272363855,0.180313909065299
"6n7Janary9fqzxKaJVrhL9TG2F61VbAtwUMu1YZscaQS","Ansem's Cat","Hobbes",4241641.76290209,0.18001691368816675
"EtBc6gkCvsB9c6f5wSbwG8wPjRqXMB5euptK6bqG1R4X","batcat","BTC",668622.2973830714,0.17977228166536594
"KdF3kjqSHbWXFstBLA2dccDxuNBi4o3yZqtMhB7k5dZ","ApeWifHat","APEWIFHAT",1554726.3197277037,0.1794586973046286
"ANbJbc2vHoLpqXPiHqCPkVKBtfPEPkSrboUdLSxgS6J9","Stanley Pup","PUP",345223.58152009355,0.17936983467565581
